"","Country","Technology","h","mean_ut","sd_ut","UtCite"
"357","Mauritania","Wind",8760,NA,NA,"WRI"
"358","Mauritius","Biomass",8760,0.534629894889745,7.85046229341888e-17,"WRI"
"359","Mauritius","Coal",8760,0.640122903597491,1.11022302462516e-16,"WRI"
"360","Mauritius","Hydro",8760,0.202170520481118,1.96261557335472e-17,"WRI"
"361","Mauritius","Oil",8760,0.246396656890159,2.40370335797945e-17,"WRI"
"362","Mauritius","Solar",8760,0.190258751902588,NA,"WRI"
"363","Mexico","Biomass",8760,0.228344256053401,2.13224238154002e-17,"WRI"
"364","Mexico","Coal",8760,0.719116105891518,0,"WRI"
"365","Mexico","Gas",8760,0.764595013546815,8.10792259265082e-17,"WRI"
"366","Mexico","Geothermal",8760,0.758002995627839,0,"WRI"
"367","Mexico","Hydro",8760,0.356817155377637,4.2899103230371e-17,"WRI"
"368","Mexico","Nuclear",8760,0.73157640085881,NA,"WRI"
"369","Mexico","Oil",8760,0.326998560992335,3.13125122951433e-17,"WRI"
"370","Mexico","Solar",8760,4.34970870729019,0,"WRI"
"371","Mexico","Wind",8760,0.462289919230915,3.82053944931563e-17,"WRI"
"372","Moldova","Coal",8760,0,NA,"WRI"
"373","Moldova","Gas",8760,1.73135464231355,0,"WRI"
"374","Moldova","Hydro",8760,0.565425228310502,0,"WRI"
"375","Mongolia","Coal",8760,0.704809286898839,7.85046229341888e-17,"WRI"
"376","Mongolia","Wind",8760,0.388127853881279,NA,"WRI"
"377","Montenegro","Coal",8760,0.742923419328548,NA,"WRI"
"378","Montenegro","Hydro",8760,0.299850074962519,0,"WRI"
"379","Morocco","Coal",8760,0.636933955046588,7.85046229341888e-17,"WRI"
"380","Morocco","Gas",8760,0.383715129887571,5.55111512312578e-17,"WRI"
"381","Morocco","Hydro",8760,0.138429839290651,1.50525743132968e-17,"WRI"
"382","Morocco","Oil",8760,0.553226336099612,7.85046229341888e-17,"WRI"
"383","Morocco","Solar",8760,0,0,"WRI"
"384","Morocco","Wind",8760,0.181552294005709,1.96261557335472e-17,"WRI"
